lat,lng,name,url,
34.0573882856 , -118.237980008 , Olvera Street , https://foursquare.com/item/4db8a740b5928d7fda6d84e8 , 
34.0583038608 , -118.238565749 , Spring Street SmokeHouse , https://foursquare.com/item/4c7189d58efc3704eeb2107d , 
34.0597103991 , -118.236992955 , Philippe the Original , https://foursquare.com/item/4bd59e3770c603bbf74999b4 , 
34.05802219 , -118.237352371 , Cielito Lindo , https://foursquare.com/item/4c786073bd346dcb8d14f2ef , 
34.0502371096 , -118.238835633 , The Geffen Contemporary (MoCA) , https://foursquare.com/item/4c603b44924b76b00fb7edb9 , 
34.0498028952 , -118.240267561 , Marugame Monzo , https://foursquare.com/item/51468410e4b03152898f3f96 , 
34.0565744468 , -118.238508641 , El Pueblo de Los Angeles Historic Monument , https://foursquare.com/item/51fae000498e564b0c3a5a2a , 
34.0499215373 , -118.239895105 , Daikokuya , https://foursquare.com/item/4d1bc889cd692d438635f160 , 
34.059982398 , -118.238257365 , Little Jewel of New Orleans , https://foursquare.com/item/548079f7498ecb75ad9ab63f , 
34.0508794841 , -118.240376066 , JiST Cafe , https://foursquare.com/item/528a83eb498e035935711bb4 , 
34.0501339166 , -118.242214917 , Curry House , https://foursquare.com/item/4ba5956a70c603bb6e1d95b4 , 
34.049742 , -118.23946818 , Far Bar , https://foursquare.com/item/4eb7b749c2eef09a0738e9f1 , 
34.0496859685 , -118.241713643 , Cafe Demitasse , https://foursquare.com/item/4e4ebd8f1fc7e04d29e24334 , 
34.055610548 , -118.245720863 , Grand Park , https://foursquare.com/item/51fab838498e3bbaf2d9f2ec , 
34.0481636447 , -118.240021169 , Spitz , https://foursquare.com/item/4a08853270c603bb3d258eb4 , 
34.0501971076 , -118.242233992 , Kinokuniya Bookstore , https://foursquare.com/item/4cc6308b4935bfb7fd44d1d8 , 
34.0493746675 , -118.23899977 , Japanese American National Museum , https://foursquare.com/item/4d41d551e6b788bfcaa948f4 , 
34.0614560923 , -118.239490897 , Chego! , https://foursquare.com/item/5238bf0711d2ba5778e264d9 , 
34.049949 , -118.24212675 , Blue Whale Bar , https://foursquare.com/item/51fe0170498e4128be70c4a3 , 
34.0488525829 , -118.239991665 , Mikawaya , https://foursquare.com/item/4dfb95f8b3ad776a948b10db , 
34.0502549668 , -118.241181279 , Izakaya & Bar Fu-ga , https://foursquare.com/item/5188272c498ea8c4bcc476c9 , 
34.048282967 , -118.239382392 , Shin-Sen-Gumi , https://foursquare.com/item/4e95fb7e5c5cc3f497f22ac0 , 
34.0489297039 , -118.240501702 , Café Dulcé , https://foursquare.com/item/4e5021a61f6eae4d25249b60 , 
34.048173046 , -118.240170479 , Ice Cream Lab , https://foursquare.com/item/55349132498e3037374e80d7 , 
